"spotify_id","name","artists","daily_rank","daily_movement","weekly_movement","country","snapshot_date","popularity","is_explicit","duration_ms","album_name","album_release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"6VXVYATpQXEIoZ97NnWCmn",Vì Anh Đâu Có Biết,"Madihu, Vũ.",25,0,4,VN,2023-11-21,68,false,241919,Vì Anh Đâu Có Biết,2022-08-04,0.775,0.358,9,-6.473,0,0.0527,0.861,0.0,0.415,0.524,139.982,4
"3ukrFH17Zl6iEZ2QJ1Zwiy",Don't Côi,"RPT Orijinn, Ronboogz",26,0,0,VN,2023-11-21,66,true,148880,Don't Côi,2022-11-20,0.808,0.41,2,-10.981,0,0.105,0.816,0.0,0.102,0.361,110.079,4
"28bxbqNcAuNxYDZYet6eZ7",Chỉ Một Đêm Nữa Thôi,"RPT MCK, tlinh",27,-2,5,VN,2023-11-21,67,true,141760,"99%",2023-03-02,0.669,0.773,10,-8.182,1,0.108,0.13,0.0000401,0.0838,0.358,170.085,4
"3K7RddI2L8Wiv7uIbrhfLc",Rồi Em Sẽ Gặp Một Chàng Trai Khác (feat. HippoHappy),"The Masked Singer, HippoHappy",28,0,22,VN,2023-11-21,53,false,303968,(Tập 14) Ca Sĩ Mặt Nạ Mùa 2 [The Masked Singer Vietnam],2023-11-12,0.636,0.402,10,-7.858,1,0.0386,0.813,0.0,0.115,0.293,127.95,4
"07tiPBhMqiKqHowwqDBtfK",id T41104 (feat. 267),"W/N, 267",29,0,-1,VN,2023-11-21,63,false,200000,id T41104 (feat. 267),2023-10-31,0.689,0.349,5,-7.609,1,0.0306,0.872,0.0000105,0.0665,0.577,132.075,3
"08ULi904W2Po6pVj8nN7KC",đưa em về nhàa,"GREY D, Chillies",30,0,1,VN,2023-11-21,67,false,240000,đưa em về nhàa,2023-04-24,0.664,0.531,3,-10.227,1,0.0391,0.674,0.0000154,0.353,0.644,90.96,4
"5ECHJ1llWBNYLVCYrllD3x",Chạy Khỏi Thế Giới Này,"Da LAB, Phương Ly",31,-2,4,VN,2023-11-21,66,false,255429,Chạy Khỏi Thế Giới Này,2022-06-30,0.71,0.552,5,-10.257,1,0.0694,0.761,0.0000122,0.0921,0.617,139.904,4
"08GUMwJRpisuxHGyRzoSuu",Call Me,"Wren Evans, itsnk",32,0,-5,VN,2023-11-21,66,false,214736,Call Me,2023-08-15,0.808,0.541,9,-11.864,0,0.0654,0.0992,0.00351,0.0939,0.38,114.007,4
"0hhF4SJHEosOwZ7gbjgmbf",Không Thể Say,HIEUTHUHAI,33,0,1,VN,2023-11-21,58,false,228413,Ai Cũng Phải Bắt Đầu Từ Đâu Đó,2023-10-16,0.67,0.632,7,-5.264,1,0.042,0.25,0.0,0.211,0.639,145.027,4
"6Hs2xIgB8nzyGFDvVA8lFa",Có Em,"Madihu, Low G",34,0,2,VN,2023-11-21,67,false,218512,Có em,2022-04-22,0.79,0.423,9,-7.965,0,0.0533,0.87,0.0,0.149,0.726,133.961,4
"5T6j0rfpCDBzAxC8Fpd0N7",An Thần,"Low G, Thắng",35,0,-2,VN,2023-11-21,65,false,174286,An Thần,2021-10-21,0.758,0.773,6,-7.266,0,0.214,0.631,0.0000021,0.114,0.907,169.996,4
"4TMdpMJNQdcawl8JjZEwLk",Nụ hôn Bisou,Mikelodic,36,-3,-11,VN,2023-11-21,67,false,156825,Nụ hôn Bisou,2022-10-28,0.81,0.459,6,-9.299,0,0.0653,0.678,0.0,0.131,0.401,124.058,4
"3CyGK8BeJ5iCunpzvHyINs",Anh Luôn Như Vậy,B Ray,37,0,-7,VN,2023-11-21,67,false,212732,Anh Luôn Như Vậy,2023-10-05,0.601,0.438,6,-12.432,1,0.0486,0.299,0.00000275,0.0821,0.234,132.152,4
"27Z9T0mSWHYWSj9SNOGvyt",Thằng Điên,"JustaTee, Phương Ly",38,0,1,VN,2023-11-21,65,false,234000,Thằng Điên,2022-07-11,0.626,0.503,5,-8.753,1,0.0389,0.362,0.00000142,0.0762,0.574,140.014,4
"5BTzf3doGTigDIYUFtbkI9",Sinh Ra Đã Là Thứ Đối Lập Nhau (feat. Badbies),"Emcee L (Da LAB), Da LAB, Badbies",39,-1,7,VN,2023-11-21,64,false,234168,Sinh Ra Đã Là Thứ Đối Lập Nhau (feat. Badbies),2020-12-29,0.494,0.395,6,-8.653,1,0.0301,0.887,0.0000143,0.058,0.179,141.464,4
"4qJSUFwZFouto5VZUlln75",Thích Quá Rùi Nà,"tlinh, Trung Trần",40,0,3,VN,2023-11-21,64,false,178000,Thích Quá Rùi Nà,2023-07-14,0.766,0.511,7,-7.47,1,0.0842,0.536,0.0,0.111,0.609,104.944,4
"3a2Oftcs10wtzw6AmxuTMU",Rồi Ta Sẽ Ngắm Pháo Hoa Cùng Nhau,O.lew,41,0,9,VN,2023-11-21,64,false,278732,Rồi Ta Sẽ Ngắm Pháo Hoa Cùng Nhau,2023-01-02,0.638,0.106,3,-15.103,1,0.0424,0.955,0.0000011,0.237,0.221,123.592,4
"4fj4Jn4nw8fGX8xdbCntJf",Sau Cơn Mưa,"CoolKid, Rhyder",42,-3,3,VN,2023-11-21,64,false,154756,Sau Cơn Mưa,2023-07-28,0.69,0.3,6,-9.204,1,0.039,0.769,0.00000169,0.123,0.646,81.983,4
"1xoadYaxtOp9gHDwgmPDuz",Sài Gòn Hôm Nay Mưa,"JSOL, Hoàng Duyên",43,-1,7,VN,2023-11-21,65,false,247058,Sài Gòn Hôm Nay Mưa,2021-05-29,0.624,0.604,2,-5.438,1,0.0619,0.784,0.00869,0.108,0.354,136.077,4
"4X2vrRE8Pi5hBMbWRjofAU",NOLOVENOLIFE,HIEUTHUHAI,44,0,-6,VN,2023-11-21,64,false,170898,Ai Cũng Phải Bắt Đầu Từ Đâu Đó,2023-10-16,0.812,0.704,4,-4.499,1,0.148,0.352,0.0,0.104,0.554,138.013,4
"3UX7FjJDl6RodnWekzFwEB",Exit Sign,"HIEUTHUHAI, marzuz",45,0,-5,VN,2023-11-21,64,false,201589,Ai Cũng Phải Bắt Đầu Từ Đâu Đó,2023-10-16,0.626,0.597,2,-7.55,1,0.33,0.844,0.0000239,0.149,0.182,79.406,4
"1ZgiJ8fiSEwd07OpB9ZuRz",Cắt Đôi Nỗi Sầu,"Tăng Duy Tân, Drum7",46,-6,-4,VN,2023-11-21,65,false,182000,Cắt Đôi Nỗi Sầu,2023-09-27,0.907,0.57,9,-8.185,0,0.0532,0.771,0.0166,0.104,0.582,120.042,4
"1Vla7vXcM0zimotYpresDT",tình yêu có nghĩa là gì?,tlinh,47,0,-6,VN,2023-11-21,62,false,133784,ái,2023-08-16,0.443,0.371,5,-12.08,0,0.0377,0.864,0.78,0.421,0.189,92.468,4
"7bFFUPBiF15n8m8RziqS4o",dự báo thời tiết hôm nay mưa,GREY D,48,-4,-1,VN,2023-11-21,65,false,281493,dự báo thời tiết hôm nay mưa – Maxi Single,2022-11-22,0.581,0.558,5,-10.404,1,0.0432,0.627,0.00022,0.102,0.271,76.992,4
"5iZHnufFUgATzrpGgH1K0W",Ánh Sao Và Bầu Trời,T.R.I,49,0,1,VN,2023-11-21,65,false,260571,Ánh Sao Và Bầu Trời,2021-09-10,0.662,0.205,5,-14.005,0,0.0349,0.876,0.00354,0.109,0.268,139.911,4
"2UtFCtiSoc30GJ4MUcHDKr",Tell the kids i love them (ft. Shiki),"Obito, Shiki",50,-2,0,VN,2023-11-21,64,false,224175,Đánh Đổi,2023-10-10,0.678,0.482,2,-14.073,1,0.144,0.514,0.0,0.298,0.459,90.962,4
"7xX7bER73YZSE4m76OpMXV",Salgo a Bailar,"FMK, Emilia",31,-2,-1,UY,2023-11-21,78,false,157830,Salgo a Bailar,2023-07-14,0.73,0.656,10,-2.628,1,0.0454,0.012,0.0,0.0872,0.694,137.829,3
"11PV8CaPqlto9Uejx92C35",OJITOS ROJOS,"Grupo Frontera, Ke Personajes",32,0,-4,UY,2023-11-21,80,false,221601,El Comienzo,2023-08-25,0.721,0.782,11,-3.51,1,0.045,0.251,0.0,0.107,0.77,90.001,4
"7w7BrPbOjF5OxChs2dxFve",En La Intimidad | CROSSOVER #1,"Big One, Emilia, Callejero Fino",33,0,-4,UY,2023-11-21,79,false,165854,En La Intimidad | CROSSOVER #1,2023-02-01,0.804,0.555,1,-4.991,1,0.107,0.0924,0.0,0.0699,0.64,89.946,4
"7MVIfkyzuUmQ716j8U7yGR",Rara Vez,"Taiu, Milo j",34,0,-7,UY,2023-11-21,88,false,128677,Rara Vez,2023-02-08,0.838,0.708,5,-4.668,0,0.166,0.176,0.0,0.343,0.96,119.984,4
"7jDYmAWdghEWmQyqwLpriE",NO DA MÁS,"YSY A, Duki, ONIRIA, Yesan 雪山",35,-4,14,UY,2023-11-21,72,false,168484,EL AFTER DEL AFTER,2023-11-11,0.606,0.929,8,-2.555,0,0.0658,0.012,0.0,0.173,0.346,159.806,4
"7HdEUquZzUzPjgSllvlJGl",Quiero Creer,"Luck Ra, La T y La M, Rusherking",36,0,-5,UY,2023-11-21,74,false,145054,Quiero Creer,2023-02-03,0.678,0.624,6,-3.712,1,0.0589,0.279,0.0,0.105,0.927,90.983,3
"3J3yRkO999AgZT4LMum1Yc",Amigo Remix,"El Villano, BM, Migrantes",37,0,7,UY,2023-11-21,70,false,141501,Amigo Remix,2023-07-20,0.75,0.681,2,-6.307,1,0.0435,0.234,0.0,0.227,0.611,81.982,4
"2df5CkXBJO7jTGXm54dFJy",No_Se_Ve.mp3,"Emilia, LUDMILLA, Zecca",38,0,-5,UY,2023-11-21,72,false,203636,.mp3,2023-11-03,0.765,0.659,11,-5.059,0,0.0825,0.0892,0.0000383,0.149,0.567,132.066,4
"4jn3R3KF5hx2fCiXlj89yE",FLECHAZO EN EL CENTRO,"YSY A, Bhavi, Milo j",39,-3,-5,UY,2023-11-21,82,false,185241,TU DUO FAVORITO,2023-09-06,0.767,0.607,5,-6.875,0,0.0516,0.0927,0.0,0.112,0.38,104.98,4
"5w7RsSgxxBwdVTSyQDj8Bi",DISCOTEKA (feat. Locura Mix),"The La Planta, BM, Alejo Isakk, Locura Mix",40,0,3,UY,2023-11-21,77,false,204480,DISCOTEKA (feat. Locura Mix),2023-02-16,0.822,0.519,9,-7.183,1,0.136,0.178,0.0,0.0814,0.779,89.962,4
"0Eh0C7rpC5E0sPy4OcLdsq",我就想你,理想混蛋,21,0,2,TW,2023-11-21,66,false,204437,關掉 / 打開,2022-04-21,0.501,0.462,7,-7.102,1,0.0726,0.186,0.0,0.418,0.585,82.513,4
"0KWnRv3wxjltYVB3MqjNd2",Without You,高爾宣 OSN,22,0,2,TW,2023-11-21,67,false,175500,#osnrap,2019-04-30,0.669,0.698,11,-4.613,1,0.091,0.573,0.0,0.102,0.286,80.003,4
"72OVnXDzugvrCU25lMi9au","如果可以 - 電影""月老""主題曲",WeiBird,23,0,7,TW,2023-11-21,69,false,274400,"如果可以 (電影""月老""主題曲)",2021-11-05,0.54,0.54,3,-6.368,1,0.029,0.241,0.0,0.351,0.372,74.969,4
"35XxW360SO3puJQDfuaY4r",鲜花,回春丹,24,0,26,TW,2023-11-21,59,false,341441,鲜花,2023-09-30,0.337,0.552,4,-6.439,1,0.0312,0.00117,0.00000811,0.312,0.255,200.017,4
"4Rt9k4SE8dbfKzngxKJPq9",擱淺,Jay Chou,25,0,14,TW,2023-11-21,66,false,236133,七里香,2004-08-03,0.497,0.49,5,-7.161,1,0.0276,0.671,0.000417,0.155,0.126,122.71,4
"05QUYSOApWLr8oBbpONl7p","24/7, 365",elijah woods,26,0,16,TW,2023-11-21,77,false,167000,"24/7, 365",2023-07-24,0.664,0.549,6,-7.282,1,0.036,0.202,0.0,0.122,0.408,149.98,4
"6RUKPb4LETWmmr3iAEQktW",Something Just Like This,"The Chainsmokers, Coldplay",27,-4,-20,TW,2023-11-21,87,false,247160,Memories...Do Not Open,2017-04-07,0.617,0.635,11,-6.769,0,0.0317,0.0498,0.0000144,0.164,0.446,103.019,4
"6la3Kme7O7D01fJPxgpAS5",訣愛 (劇集《蒼蘭訣》片頭曲),詹雯婷,28,-1,7,TW,2023-11-21,68,false,189295,訣愛,2022-08-15,0.45,0.62,11,-6.492,1,0.0365,0.313,0.0,0.0672,0.169,142.026,4
"65FftemJ1DbbZ45DUfHJXE",OMG,NewJeans,29,0,8,TW,2023-11-21,86,false,212253,NewJeans 'OMG',2023-01-02,0.804,0.771,9,-4.067,0,0.0433,0.357,0.00000307,0.108,0.739,126.956,4
"3AJwUDP919kvQ9QcozQPxg",Yellow,Coldplay,30,-10,-26,TW,2023-11-21,91,false,266773,Parachutes,2000-07-10,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,4
"3auN910HHNYykQo8i9q5J1",Ateşe Düştüm,Mert Demir,1,0,1,TR,2023-11-21,84,false,230161,Ateşe Düştüm,2023-09-22,0.657,0.372,4,-14.11,0,0.0476,0.835,0.0136,0.0981,0.919,188.011,4
